step,cost
0,-6.1
1,-5.9
2,-5.1
3,-5.3
4,-5.3
5,-6.8
6,-5.8
7,-5.5
8,-6.0
9,-5.9
10,-5.9
11,-5.6000000000000005
12,-5.9
13,-6.3
14,-5.8
15,-5.3
16,-5.8
17,-5.5
18,-5.3
19,-6.1
20,-5.9
21,-5.8
22,-5.3
23,-6.6
24,-5.3
25,-6.2
26,-6.0
27,-7.0
28,-5.8
29,-5.7
30,-6.5
31,-6.4
32,-5.1
33,-6.2
34,-5.6
35,-5.8
36,-5.6
37,-5.2
38,-5.5
39,-5.6
40,-5.4
41,-6.1
42,-5.1
43,-5.4
44,-6.4
45,-5.9
46,-5.4
47,-6.1
48,-6.6
49,-5.3
50,-6.2
51,-6.4
52,-5.7
53,-5.8
54,-6.4
55,-5.7
56,-5.7
57,-5.0
58,-6.2
59,-6.6
60,-5.8
61,-5.6
62,-5.2
63,-6.8
64,-6.0
65,-6.4
66,-5.9
67,-6.6
68,-5.7
69,-6.8
70,-6.1
71,-5.3
72,-6.0
73,-6.2
74,-5.3
75,-5.9
76,-6.0
77,-5.9
78,-5.3
79,-6.3
80,-6.2
81,-5.6
82,-5.9
83,-6.2
84,-6.0
85,-6.5
86,-6.0
87,-6.3
88,-6.1
89,-5.3
90,-6.7
91,-6.9
92,-6.2
93,-6.7
94,-5.8
95,-5.9
96,-5.9
97,-5.9
98,-5.8
99,-6.5
100,-6.4
101,-6.3
102,-5.9
103,-6.9
104,-6.2
105,-7.300000000000001
106,-6.6
107,-5.0
108,-6.0
109,-6.2
110,-5.7
111,-5.8
112,-7.2
113,-6.2
114,-7.0
115,-7.7
116,-5.7
117,-4.9
118,-5.9
119,-6.7
120,-6.6
121,-6.1
122,-6.0
123,-6.3
124,-6.3
125,-6.6
126,-6.7
127,-7.7
128,-6.7
129,-6.3999999999999995
130,-6.9
131,-6.3
132,-5.0
133,-7.2
134,-7.4
135,-6.2
136,-6.3
137,-6.0
138,-6.9
139,-5.6000000000000005
140,-6.2
141,-6.2
142,-6.6
143,-6.9
144,-6.8
145,-6.6
146,-6.1
147,-5.8
148,-7.300000000000001
149,-6.9
150,-6.2
151,-6.0
152,-6.0
153,-6.4
154,-6.4
155,-6.8
156,-6.7
157,-6.4
158,-6.8
159,-6.5
160,-5.9
161,-5.8
162,-6.4
163,-6.6
164,-6.5
165,-6.2
166,-6.8
167,-6.4
168,-5.2
169,-5.5
170,-6.1
171,-5.0
172,-6.1
173,-6.4
174,-5.9
175,-6.5
176,-6.4
177,-6.1
178,-4.9
179,-6.9
180,-6.5
181,-4.6
182,-6.1
183,-6.0
184,-5.8
185,-5.7
186,-6.2
187,-7.4
188,-5.5
189,-5.8
190,-5.8
191,-6.6
192,-6.5
193,-6.5
194,-6.3
195,-6.8
196,-6.1
197,-5.8
198,-5.0
199,-6.7
200,-5.2
201,-5.6
202,-6.4
203,-5.9
204,-6.3
205,-6.5
206,-4.4
207,-5.6
208,-5.9
209,-5.6
210,-6.0
211,-5.9
212,-6.6
213,-6.5
214,-6.8
215,-6.2
216,-6.7
217,-6.4
218,-6.8
219,-7.4
220,-6.7
221,-5.6
222,-5.8
223,-4.6
224,-5.6
225,-7.4
226,-5.1
227,-6.2
228,-6.4
229,-6.2
230,-5.9
231,-5.5
232,-6.1
233,-6.9
234,-7.2
235,-6.9
236,-6.3
237,-6.5
238,-6.6
239,-6.3999999999999995
240,-7.3
241,-6.0
242,-5.5
243,-5.7
244,-5.3
245,-6.3
246,-5.8
247,-5.7
248,-7.0
249,-6.2
250,-5.9
251,-6.8
252,-5.4
253,-6.5
254,-5.2
255,-7.0
256,-6.4
257,-5.6
258,-6.800000000000001
259,-5.5
260,-5.9
261,-6.1
262,-6.2
263,-5.6
264,-6.2
265,-6.3
266,-6.3
267,-5.2
268,-5.6
269,-5.7
270,-5.7
271,-6.5
272,-5.6
273,-6.3
274,-6.3
275,-6.2
276,-7.2
277,-6.4
278,-5.5
279,-5.7
280,-5.8
281,-6.5
282,-4.9
283,-6.7
284,-6.3
285,-6.5
286,-5.7
287,-6.7
288,-6.3
289,-5.5
290,-6.2
291,-6.0
292,-6.0
293,-6.1
294,-5.7
295,-6.4
296,-7.0
297,-6.6
298,-5.9
299,-5.9
300,-6.6
301,-6.9
302,-6.5
303,-6.3
304,-6.6
305,-6.2
306,-5.6
307,-6.2
308,-5.9
309,-5.5
310,-6.2
311,-6.0
312,-5.8
313,-5.8
314,-6.3
315,-4.9
316,-5.7
317,-6.3
318,-5.7
319,-6.5
320,-6.6
321,-5.5
322,-5.9
323,-5.6
324,-5.6
325,-6.8
326,-6.3
327,-6.8
328,-5.6
329,-5.6
330,-6.2
331,-4.6
332,-5.5
333,-5.2
334,-6.4
335,-6.7
336,-6.8
337,-5.9
338,-5.1
339,-6.4
340,-6.3
341,-6.2
342,-6.4
343,-6.1
344,-6.4
345,-6.4
346,-5.8
347,-6.7
348,-6.1
349,-6.6
350,-7.2
351,-6.5
352,-6.3
353,-5.6
354,-5.7
355,-7.1
356,-5.8
357,-6.4
358,-6.8
359,-6.2
360,-5.9
361,-6.6
362,-6.5
363,-6.6
364,-5.8
365,-6.6
366,-6.6
367,-5.9
368,-5.9
369,-6.0
370,-4.8
371,-7.2
372,-5.6
373,-5.7
374,-6.3
375,-5.1
376,-6.9
377,-6.2
378,-6.3
379,-5.9
380,-6.4
381,-6.2
382,-5.0
383,-6.1
384,-6.2
385,-5.4
386,-5.5
387,-6.6
388,-7.0
389,-6.7
390,-5.7
391,-6.2
392,-7.2
393,-5.5
394,-5.7
395,-6.6
396,-6.0
397,-6.0
398,-5.8
399,-7.0
400,-6.6
401,-6.3
402,-4.9
403,-6.8
404,-5.3
405,-7.2
406,-6.7
407,-6.3
408,-6.9
409,-6.3
410,-6.8
411,-5.7
412,-5.8
413,-6.0
414,-5.6
415,-6.0
416,-7.3
417,-6.4
418,-6.6
419,-6.7
420,-5.3
421,-7.1
422,-5.1
423,-6.3
424,-5.6
425,-5.6
426,-5.9
427,-6.4
428,-6.4
429,-6.7
430,-6.2
431,-5.8
432,-6.0
433,-5.6
434,-7.1
435,-6.4
436,-6.7
437,-6.0
438,-5.8
439,-6.4
440,-6.4
441,-6.2
442,-5.5
443,-5.9
444,-7.0
445,-6.8
446,-5.5
447,-5.1
448,-6.1
449,-6.3
450,-5.9
451,-5.9
452,-5.7
453,-6.0
454,-5.5
455,-5.9
456,-6.5
457,-7.2
458,-6.1
459,-6.7
460,-6.2
461,-7.6
462,-5.7
463,-5.0
464,-6.6
465,-6.1
466,-5.4
